reference_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.01,0.6272758794081714
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.025,0.7638766500771307
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.05,0.8813608488256652
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.1,1.016812605837742
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.15000000000000002,1.1082012632351317
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.2,1.1808340710551815
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.25,1.2431465528169445
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.3,1.2991050872872185
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.35000000000000003,1.3509590089626649
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.4,1.4001633098266069
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.45,1.4477690403492056
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.5,1.49462
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.55,1.5414709596507945
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.6000000000000001,1.5890766901733933
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.6500000000000001,1.6382809910373353
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.7000000000000001,1.6901349127127816
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.7500000000000001,1.7460934471830556
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.8,1.8084059289448189
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.8500000000000001,1.8810387367648687
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.9000000000000001,1.9724273941622583
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.95,2.1078791511743344
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.975,2.225363349922869
2018-04-28,HHS Region 1,ili perc,1,2018-05-05,quantile,0.99,2.3619641205918285
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.01,0.26801018141447086
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.025,0.4611928439251299
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.05,0.6273405911598436
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.1,0.8188983029735877
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.15000000000000002,0.9481413817120442
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.2,1.0508596836043973
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.25,1.1389828404170088
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.3,1.2181201587953927
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.35000000000000003,1.2914526780910411
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.4,1.361038067699914
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.45,1.4283627374516519
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.5,1.49462
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.55,1.5608772625483482
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.6000000000000001,1.6282019323000863
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.6500000000000001,1.6977873219089592
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.7000000000000001,1.7711198412046074
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.7500000000000001,1.8502571595829913
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.8,1.938380316395603
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.8500000000000001,2.0410986182879562
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.9000000000000001,2.1703416970264127
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.95,2.361899408840156
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.975,2.52804715607487
2018-04-28,HHS Region 1,ili perc,2,2018-05-12,quantile,0.99,2.7212298185855293
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.01,-0.0076640845111942794
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.025,0.22893539064050755
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.05,0.43242399195948933
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.1,0.6670333170788804
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.15000000000000002,0.8253231149266643
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.2,0.9511268283673766
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.25,1.0590552127244595
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.3,1.1559782375440684
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.35000000000000003,1.2457918644576385
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.4,1.3310162135048913
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.45,1.4134717575014646
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.5,1.49462
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.55,1.5757682424985355
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.6000000000000001,1.658223786495109
2018-04-28,HHS Region 1,ili perc,3,2018-05-19,quantile,0.6500000000000001,1.7434481355423619
